B2,B8,B5,B6,NDVI,EVI,NDMI,TEX_B2_contrast,TEX_B2_ent,TEX_B2_asm,TEX_B2_corr,TEX_B2_var,TEX_B3_contrast,TEX_B3_ent,TEX_B3_corr,TEX_B4_asm,TEX_B4_corr,TEX_B8_contrast,TEX_B8_ent,TEX_B8_corr,TEX_B8_var,TEX_B8_sent,Clase_N1
0.9999611476461543,0.9999629981361093,0.9999736381976456,0.9999744483691709,0.9999807303237749,0.9999500588323248,0.9999612306880199,0.9586824278969353,0.9998582753376699,0.9999109495728832,0.9999505028478369,0.9584721653891165,0.9505173746639825,0.999853843261654,0.9999481677042514,0.9999781282986175,0.999956475288038,0.9460402212322955,0.9999492943586389,0.9999746913012519,0.9029729938455612,0.9999231898602635,2.0
0.999961517668601,0.9999625981158827,0.9999754183192378,0.9999758384583052,0.9999659608059088,0.9999459457354408,0.9999473178011915,0.9581632055663313,0.9998648315657204,0.999910551565121,0.9999859447649437,0.9582548009030394,0.9500131391493719,0.9999000438926033,0.9999869665667572,0.999977349155958,0.999980979171651,0.9492441727561111,0.9999598493524351,0.9999920767397319,0.9111715846069228,0.9999315742902491,2.0
0.9999622477128123,0.9999651582442898,0.9999750382935436,0.9999758184566904,0.9999613464916424,0.9999477315116433,0.9999612972268029,0.9581162541002531,0.9998152023160455,0.9999142320552792,0.9999401788202599,0.957959104021777,0.9496900440559163,0.9998582973168754,0.9999530083902605,0.9999782556619573,0.9999571043580648,0.9457770997377634,0.9999465615438845,0.9999843041084665,0.9030467027133326,0.9999298160481632,2.0
0.9999617576831107,0.9999665583147103,0.9999756483351229,0.9999778985896156,0.9999721445196582,0.9999524054595006,0.9999606801466867,0.9606547694618205,0.9998927339075065,0.9999097419675105,0.9999603189332549,0.960681083665323,0.9528817148866956,0.999924658804695,0.999964479302717,0.9999767963938179,0.999962594351414,0.9486722797002923,0.9999695966642262,0.9999874381523557,0.9086359117942404,0.9999637400974994,2.0
0.9999622877151685,0.9999659082828666,0.9999771184351266,0.9999786086350213,0.9999606730957086,0.999948169065408,0.9999532660335264,0.9590510063916838,0.9998686242058875,0.9999117030715121,0.9999652555820765,0.9590221370521331,0.9511424647991937,0.9999004172267981,0.99996314130115,0.999977592662721,0.9999627038496177,0.9482501791868793,0.9999572176409346,0.9999876860932448,0.9079982245302414,0.9999557275286238,2.0
0.9999619476946752,0.9999675083637729,0.9999762383749968,0.9999775585681239,0.9999725256354351,0.9999538010347065,0.9999593870938716,0.9593393682496943,0.9998737395796026,0.9999106312851381,0.9999654357274207,0.9594161927460165,0.950622969322681,0.9999150504781322,0.9999746094240668,0.9999781430622932,0.9999670562370673,0.9476569137661017,0.9999760907249945,0.9999906049613738,0.9073590544021646,0.9999692034596667,2.0
0.9999622677139904,0.9999651182430866,0.9999761583696659,0.9999756984492365,0.9999641103320505,0.9999487083388855,0.9999556712920242,0.9580447814272153,0.9997799246943805,0.9999218522728006,0.9999493568151683,0.9579225118615019,0.9496696033567791,0.9998412982412195,0.9999586410194625,0.9999801671008192,0.9999532103961809,0.9463416814226907,0.9999502343185929,0.9999854788250644,0.9041560807182646,0.9999388960045376,2.0
0.9999623877212452,0.9999661082933524,0.9999764983926946,0.9999767685177489,0.9999631436367105,0.9999493937760544,0.9999564029199459,0.9580442111687131,0.9997941804862955,0.9999160486804403,0.9999450943359935,0.957915716035276,0.9495958472477778,0.9998635295250667,0.9999710647892379,0.9999784446405814,0.9999713653062513,0.9457740063406951,0.99995164034977,0.9999776053711402,0.9027367880758477,0.9999320201374424,2.0
0.9999629377545743,0.9999661882972487,0.999977238443868,0.999977538566509,0.9999591771984028,0.9999485534503156,0.9999507986761943,0.9580311902148533,0.9998061239136422,0.9999152727420697,0.9999693777889268,0.9579446366091047,0.9495847320205464,0.9998853007908285,0.9999827265437674,0.9999782426697886,0.9999825016917067,0.9458546207422764,0.999953552302392,0.9999733210846605,0.9026856670073578,0.9999321444169007,2.0
0.9999619876970314,0.9999631981465952,0.9999748782821368,0.9999751184120921,0.9999611299935621,0.9999456013225461,0.9999542239370477,0.9581097911477202,0.9998137910395748,0.9999151333799343,0.9999369964323205,0.9579531359711001,0.9496830734954418,0.9998603307059731,0.9999504362617203,0.9999816706612893,0.9999387000975082,0.9468101819009155,0.9999574981178537,0.9999696522068159,0.9036794375827158,0.9999316649136668,2.0
