band1,band2,r
TEX_B2_idm,TEX_B3_diss,-0.9384871300687644
TEX_B4_diss,TEX_B4_ent,0.9383656543035372
TEX_B3_asm,TEX_B4_idm,0.9379884523474757
TEX_B2_asm,TEX_B4_asm,0.9371852858508494
TEX_B2_contrast,TEX_B2_ent,0.9369242977792924
TEX_B3_idm,TEX_B4_ent,-0.936608844916206
TEX_B8_asm,TEX_B8_idm,0.9365610865641496
TEX_B3_diss,TEX_B4_var,0.9359610520159511
B3,B5,0.935706806364865
TEX_B3_idm,TEX_B3_sent,-0.9354741106606673
TEX_B2_sent,TEX_B4_idm,-0.9351307164648898
TEX_B3_contrast,TEX_B3_ent,0.9342975922346234
TEX_B3_sent,TEX_B4_diss,0.9342344606914774
TEX_B8_diss,TEX_B8_var,0.9338238627209791
TEX_B2_idm,TEX_B3_asm,0.93373870384979
TEX_B3_idm,TEX_B4_contrast,-0.9328012160555639
TEX_B2_contrast,TEX_B4_var,0.9327479119596596
TEX_B3_contrast,TEX_B3_sent,0.932574391327607
B11,B12,0.9324855521913099
TEX_B4_diss,TEX_B4_sent,0.9323158373452274
TEX_B2_contrast,TEX_B4_idm,-0.9319004111064731
TEX_B2_sent,TEX_B4_asm,-0.9318689574406854
TEX_B2_sent,TEX_B3_diss,0.9314803266292415
TEX_B2_diss,TEX_B3_var,0.9313221820275706
TEX_B2_sent,TEX_B3_idm,-0.9311586606026266
TEX_B3_ent,TEX_B4_asm,-0.9307351329444552
TEX_B2_ent,TEX_B4_diss,0.9307315470526145
TEX_B3_ent,TEX_B4_sent,0.9303290789431456
TEX_B2_diss,TEX_B3_asm,-0.9300481915069216
TEX_B2_contrast,TEX_B3_ent,0.9298193701677725
TEX_B3_var,TEX_B4_sent,0.9294323455130372
TEX_B3_asm,TEX_B4_asm,0.9294036722217668
TEX_B2_idm,TEX_B4_asm,0.928900876264222
TEX_B4_contrast,TEX_B4_idm,-0.9288892021607374
TEX_B2_asm,TEX_B3_ent,-0.9286837412673171
TEX_B2_asm,TEX_B3_idm,0.9285338711818021
TEX_B2_diss,TEX_B4_ent,0.9280887845479276
B4,B12,0.9276215077602844
TEX_B2_asm,TEX_B3_asm,0.9273485426682401
TEX_B3_asm,TEX_B4_diss,-0.9267901139549404
TEX_B8_contrast,TEX_B8_idm,-0.9266260484672806
TEX_B3_sent,TEX_B4_ent,0.9263480486824426
TEX_B2_diss,TEX_B3_sent,0.9255366878741008
TEX_B2_ent,TEX_B3_diss,0.9251649760906279
TEX_B2_sent,TEX_B4_var,0.9244439735859145
TEX_B2_sent,TEX_B3_var,0.9238130719918306
TEX_B4_idm,TEX_B4_sent,-0.9235528118234674
TEX_B3_idm,TEX_B4_asm,0.9232149751911995
TEX_B2_contrast,TEX_B3_sent,0.923117950180068
TEX_B3_asm,TEX_B4_sent,-0.9217554230501144
TEX_B3_sent,TEX_B4_contrast,0.9216502182795673
B2,B12,0.9210577773297309
TEX_B2_var,TEX_B3_ent,0.9210380725782845
TEX_B2_ent,TEX_B4_sent,0.9206327763927057
TEX_B2_corr,TEX_B4_corr,0.9201987362346525
TEX_B3_ent,TEX_B3_var,0.9201869541591403
TEX_B2_ent,TEX_B3_sent,0.9199200565421497
TEX_B4_diss,TEX_B4_asm,-0.9197807779642104
TEX_B3_diss,TEX_B4_ent,0.9196404129759883
TEX_B2_diss,TEX_B4_var,0.9191761535186574
TEX_B3_ent,TEX_B4_contrast,0.9188660202019373
TEX_B3_contrast,TEX_B3_asm,-0.9188628255781371
TEX_B3_contrast,TEX_B4_idm,-0.9185980648675389
B4,B5,0.9185733093753028
B2,MNDWI,0.9183393464172332
TEX_B2_sent,TEX_B4_contrast,0.9182648164086312
TEX_B2_idm,TEX_B3_contrast,-0.9164360304170595
TEX_B2_contrast,TEX_B3_asm,-0.9163583452660745
TEX_B2_ent,TEX_B2_var,0.915779112270547
TEX_B2_sent,TEX_B3_contrast,0.9157209868452345
TEX_B2_idm,TEX_B4_contrast,-0.9155637483145282
B2,B5,0.91396786408663
TEX_B2_var,TEX_B3_idm,-0.9136288921694341
TEX_B4_contrast,TEX_B4_sent,0.9134346455550206
B3,B12,0.9126760361818272
TEX_B3_diss,TEX_B4_sent,0.9120734190147196
TEX_B3_sent,TEX_B4_idm,-0.9116829220324284
TEX_B2_contrast,TEX_B2_asm,-0.9116050258431622
TEX_B2_diss,TEX_B4_asm,-0.911520184263391
TEX_B2_diss,TEX_B4_sent,0.9106634089724545
TEX_B3_idm,TEX_B3_var,-0.9106567114112089
TEX_B2_idm,TEX_B2_var,-0.9103108258709539
TEX_B2_contrast,TEX_B4_ent,0.9102861457116349
TEX_B3_sent,TEX_B4_asm,-0.9087735136024112
TEX_B4_contrast,TEX_B4_ent,0.9070582912950451
TEX_B2_asm,TEX_B4_diss,-0.9063907859953623
TEX_B8_ent,TEX_B8_sent,0.905849863817832
TEX_B2_var,TEX_B3_asm,-0.9051184203636664
TEX_B2_asm,TEX_B4_sent,-0.9040235765539456
TEX_B2_contrast,TEX_B4_sent,0.9037830784303887
TEX_B3_asm,TEX_B4_contrast,-0.9034749607887876
TEX_B3_idm,TEX_B4_sent,-0.9032086083741525
TEX_B8_diss,TEX_B8_ent,0.9031412786193757
TEX_B3_asm,TEX_B3_var,-0.9025348182567731
TEX_B2_ent,TEX_B4_contrast,0.9024251175629294
TEX_B2_ent,TEX_B3_contrast,0.902214319169793
TEX_B2_var,TEX_B4_idm,-0.9022104910621048
TEX_B2_var,TEX_B4_ent,0.9014760828205481
TEX_B2_idm,TEX_B3_sent,-0.9006871324142848
B4,MNDWI,0.9006542225813509
TEX_B3_diss,TEX_B4_asm,-0.9002842007981958
B4,NDVI,-0.9002357401710909
